GLITTER! 4.4 [trunk]: Laser Ablation Analysis Results

Z:\2013\tretiakova_irina\RUN2.B
Created: Wed Dec 04 16:38:55 2013

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STDGJ-03,STDGJ-04,610-02,91500-02,MT-02,INT1-13,INT1-14C,INT1-14R,INT1-15,INT1-16,INT1-17,INT1-18C,INT1-18R,INT1-19,INT1-20,INT1-21C,INT1-21RI,INT1-22C,INT1-22R,STDGJ-05,STDGJ-06
Zr91,0.105,<0.00000,0.0687,0.0641,0.0665,0.0356,0.0322,0.0923,0.0875,0.0520,10.10,0.0591,<0.00000,0.0754,<0.00000,<0.00000,<0.00000,0.0539,0.0568,0.104,<0.00000
Zr92,<0.00000,0.0328,0.0502,0.0271,0.0397,<0.00000,0.0204,0.0151,0.0277,0.0134,3.30,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.0147,0.0169,0.0229
Nb93,<0.00000,<0.00000,0.0124,0.0116,0.00851,0.00455,0.00713,<0.00000,0.00560,0.00470,<0.00000,0.00618,<0.00000,<0.00000,<0.00000,<0.00000,0.00839,0.00975,0.00889,<0.00000,0.00566
La139,0.00783,<0.00000,0.00470,0.00358,0.00743,<0.00000,0.00440,0.00565,<0.00000,0.00435,0.436,0.00572,0.00843,0.00364,<0.00000,0.00527,<0.00000,0.00638,0.00388,0.00634,0.00741
Ce140,0.00440,0.00731,0.00646,<0.00000,<0.00000,<0.00000,0.00428,<0.00000,0.00920,0.00424,0.425,0.00321,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.00507,0.00755,<0.00000,0.00416
Pr141,0.00381,0.00516,0.00395,0.00602,0.00625,0.00289,0.00262,0.00823,0.00712,0.00299,<0.00000,0.00481,0.00409,<0.00000,<0.00000,<0.00000,0.00435,<0.00000,0.00730,<0.00000,0.00509
Nd146,0.0309,0.0297,<0.00000,0.0387,0.0254,0.0166,0.0150,0.0334,0.0409,0.0272,4.22,0.0277,<0.00000,<0.00000,0.0160,<0.00000,0.0468,0.0398,0.0188,<0.00000,0.0547
Sm147,0.0250,0.0340,<0.00000,0.0280,0.0411,<0.00000,0.0422,0.0313,0.0524,0.0197,2.42,0.0409,0.0381,<0.00000,<0.00000,<0.00000,<0.00000,0.0204,<0.00000,0.0656,0.0237
Eu151,0.0173,0.00960,0.0147,0.0125,0.00822,0.00381,0.00843,0.0108,<0.00000,0.00394,0.966,<0.00000,0.00539,<0.00000,0.0127,<0.00000,<0.00000,0.00815,0.00608,<0.00000,0.0116
Gd157,0.0221,0.0300,0.0325,0.0303,0.0181,0.0168,0.0263,0.0338,0.0506,0.0213,4.27,0.0323,<0.00000,<0.00000,<0.00000,<0.00000,0.0506,<0.00000,0.0424,<0.00000,0.0362
Tb159,0.00641,0.00434,0.00665,0.00359,0.00588,0.00545,0.00220,0.00400,0.00599,0.00178,0.309,<0.00000,<0.00000,<0.00000,<0.00000,0.00457,<0.00000,<0.00000,<0.00000,<0.00000,0.00428
Dy163,0.0333,0.0184,<0.00000,0.0108,0.0112,0.0163,0.0162,<0.00000,0.0180,0.0107,3.47,0.00992,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.0165,<0.00000,<0.00000
Ho165,0.00478,0.00917,0.00496,0.00598,0.00392,<0.00000,<0.00000,0.00422,0.00836,<0.00000,0.565,0.00247,<0.00000,<0.00000,<0.00000,0.00394,<0.00000,0.00275,0.00502,<0.00000,<0.00000
Er166,0.0194,0.00930,0.0142,0.0188,0.0113,0.00738,0.00943,0.0191,0.0203,0.00933,1.62,0.0173,<0.00000,0.00781,<0.00000,0.0113,<0.00000,<0.00000,0.0144,<0.00000,<0.00000
Tm169,0.00439,0.00297,0.00644,0.00347,0.00360,0.00289,0.00213,0.00274,0.00649,0.00244,0.299,0.00320,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.00565,<0.00000,<0.00000,<0.00000
Yb173,<0.00000,0.0420,<0.00000,0.0219,0.0227,0.0183,0.0269,0.0346,<0.00000,0.0243,3.27,0.0143,<0.00000,0.0158,<0.00000,<0.00000,<0.00000,0.0504,<0.00000,<0.00000,<0.00000
Lu175,<0.00000,0.00530,0.00812,0.00506,0.00262,0.00298,0.00380,0.00564,0.00422,0.00355,0.436,0.00330,<0.00000,0.00364,<0.00000,<0.00000,<0.00000,0.00520,0.00548,0.00316,<0.00000
Hf177,0.0223,0.0302,0.0231,0.0176,0.0183,0.0120,0.0242,0.0278,0.0294,0.0124,3.04,0.0162,<0.00000,0.0254,0.0163,<0.00000,0.0221,0.0181,<0.00000,0.0221,0.0258
Hf178,0.0300,0.0144,0.0221,0.0146,0.0195,0.00808,0.0179,<0.00000,0.0172,<0.00000,1.45,0.0190,0.0140,<0.00000,0.0233,0.00875,0.0211,0.0173,0.00911,0.0316,<0.00000
Ta181,<0.00000,0.00313,<0.00000,0.00447,<0.00000,0.00248,0.00317,0.00643,0.00610,0.00256,0.315,0.00412,0.00496,0.00371,0.00584,0.00759,0.00373,0.00460,0.00559,0.00559,0.00534
Pb204,1.93,1.90,1.81,1.78,1.65,1.14,1.41,1.69,2.11,1.11,196.62,1.36,1.66,1.65,1.40,1.50,1.73,1.66,1.44,2.15,1.94
Pb206,0.0299,0.0234,0.0146,0.0158,0.0231,0.0120,0.0168,0.0152,0.0295,0.0215,2.15,0.0192,0.0227,<0.00000,0.0292,0.0164,0.0291,0.0243,0.0226,0.0296,0.0211
Pb207,0.0220,0.0197,0.0190,0.0243,0.0412,0.00982,0.0161,0.0182,0.0171,0.00749,1.50,0.0139,0.0132,0.0133,0.0121,0.0163,0.0167,0.0110,0.0134,0.0225,0.0201
Pb208,0.0115,0.00937,0.0124,0.00723,0.00802,0.00526,0.00788,0.0133,0.0141,0.00880,1.33,0.00667,0.00871,0.00682,0.00715,0.00900,0.00739,0.0109,0.00726,0.00838,0.00864
Th232,0.00684,0.00379,0.00410,0.00625,0.00324,0.00301,0.00384,<0.00000,0.0104,0.00220,0.381,0.00408,0.00601,0.00450,0.00578,0.00564,0.00904,0.00788,<0.00000,0.0111,0.00528
